"Freq [GHz]","IWavePhi [deg]","IWaveTheta [deg]","dB(MonostaticRCSTotal) []"
8.4,0,-90,14.5821813940951
8.4,0,-75,2.11986715322928
8.4,0,-60,-0.17011641821833
8.4,0,-45,-1.1572769791714
8.4,0,-30,-5.01780184695482
8.4,0,-15,4.22732080472636
8.4,0,0,40.653087377623
8.4,0,15,8.96781862900965
8.4,0,30,0.677376962374191
8.4,0,45,1.51525889120339
8.4,0,60,-10.7994170279204
8.4,0,75,-12.4714788127333
8.4,0,90,21.9031665147767
8.4,15,-90,3.62945605759606
8.4,15,-75,5.32016659769395
8.4,15,-60,-2.38167740266163
8.4,15,-45,1.30381188632054
8.4,15,-30,-4.38838247597434
8.4,15,-15,7.30909157212912
8.4,15,0,40.4805803575348
8.4,15,15,12.0389636574331
8.4,15,30,4.43891051266575
8.4,15,45,-0.879504248963787
8.4,15,60,-17.5210291297316
8.4,15,75,-5.49163430219923
8.4,15,90,0.963013727191327
8.4,30,-90,3.97510052877625
8.4,30,-75,-3.24102278464635
8.4,30,-60,-0.672934306998367
8.4,30,-45,5.26032511605124
8.4,30,-30,4.93922194315202
8.4,30,-15,3.36291524122121
8.4,30,0,40.3505445005015
8.4,30,15,21.2495888908044
8.4,30,30,9.13080564833473
8.4,30,45,8.0049570129332
8.4,30,60,-4.2708910241611
8.4,30,75,-0.787237310901902
8.4,30,90,3.11305007016022
8.4,45,-90,4.43977335576169
8.4,45,-75,-4.81672118100419
8.4,45,-60,-3.22704629589709
8.4,45,-45,7.11419972701988
8.4,45,-30,5.2039986550817
8.4,45,-15,13.4188794719554
8.4,45,0,40.3029782035917
8.4,45,15,12.6296009071245
8.4,45,30,11.618352565005
8.4,45,45,4.38599861386145
8.4,45,60,-3.40966180259579
8.4,45,75,4.79617374840026
8.4,45,90,11.2811730318596
8.4,60,-90,-2.35256461293321
8.4,60,-75,-0.742790817027323
8.4,60,-60,1.19028442638277
8.4,60,-45,9.27371628263736
8.4,60,-30,13.3905904560006
8.4,60,-15,12.6276750831132
8.4,60,0,40.3533013473426
8.4,60,15,-3.05803459094087
8.4,60,30,3.61537751278705
8.4,60,45,9.96108379567682
8.4,60,60,-6.73887250513037
8.4,60,75,0.208480819413556
8.4,60,90,8.17598023674688
8.4,75,-90,5.3449950527924
8.4,75,-75,11.9088992472751
8.4,75,-60,15.1422080200492
8.4,75,-45,11.4549220499701
8.4,75,-30,15.1090432175125
8.4,75,-15,13.3076259923274
8.4,75,0,40.4852135067671
8.4,75,15,26.8320578202971
8.4,75,30,8.92291769202819
8.4,75,45,11.8854827228443
8.4,75,60,5.62816510169609
8.4,75,75,9.84108319032467
8.4,75,90,5.26388447432679
8.4,90,-90,51.43272846631
8.4,90,-75,16.2247506126971
8.4,90,-60,28.2205886347051
8.4,90,-45,32.8451621220619
8.4,90,-30,33.2947643385592
8.4,90,-15,31.919448575443
8.4,90,0,40.6582286333397
8.4,90,15,31.6346085167515
8.4,90,30,33.2579540314949
8.4,90,45,32.8164664585554
8.4,90,60,28.3830343923316
8.4,90,75,14.9383942471649
8.4,90,90,51.4529982545491
8.4,105,-90,6.03865895290688
8.4,105,-75,9.33472639184241
8.4,105,-60,3.76000017790509
8.4,105,-45,13.2672352640783
8.4,105,-30,11.6069168348459
8.4,105,-15,27.0245954748766
8.4,105,0,40.8239518450986
8.4,105,15,15.9611214629411
8.4,105,30,11.0735437189817
8.4,105,45,12.7923037405318
8.4,105,60,14.9507624871083
8.4,105,75,10.1971741803465
8.4,105,90,3.52793118834108
8.4,120,-90,5.46586930412804
8.4,120,-75,-2.78556998587397
8.4,120,-60,-7.52346923493741
8.4,120,-45,11.1146547358933
8.4,120,-30,2.57687298818098
8.4,120,-15,0.472204306258534
8.4,120,0,40.9407371118269
8.4,120,15,19.6380661790908
8.4,120,30,13.4785457279302
8.4,120,45,9.22650253429694
8.4,120,60,1.13922628701006
8.4,120,75,-6.31470686968167
8.4,120,90,1.5232391746264
8.4,135,-90,7.82130940493974
8.4,135,-75,10.1302739307964
8.4,135,-60,-3.26214418816357
8.4,135,-45,5.13734082411412
8.4,135,-30,12.123887546475
8.4,135,-15,12.2319535350992
8.4,135,0,40.9818376291482
8.4,135,15,8.71305184809627
8.4,135,30,10.3529067564905
8.4,135,45,2.09874231934293
8.4,135,60,-1.0379406102152
8.4,135,75,-4.97698317452335
8.4,135,90,3.89818023457959
8.4,150,-90,6.71757771132764
8.4,150,-75,1.42721162494828
8.4,150,-60,-1.78872416519257
8.4,150,-45,7.21349378127091
8.4,150,-30,7.37679280831926
8.4,150,-15,20.5691258723425
8.4,150,0,40.9383291389069
8.4,150,15,8.98165658713172
8.4,150,30,5.41686853669508
8.4,150,45,0.516337513641424
8.4,150,60,-6.58562465709686
8.4,150,75,-5.30935008574847
8.4,150,90,-0.971831113610063
8.4,165,-90,7.87866997191696
8.4,165,-75,-1.77783322546625
8.4,165,-60,-16.4593767706143
8.4,165,-45,-2.55058830508868
8.4,165,-30,4.70091961758656
8.4,165,-15,13.014362775474
8.4,165,0,40.8196665071514
8.4,165,15,5.90767913959964
8.4,165,30,-18.7570777926151
8.4,165,45,-0.112735770062199
8.4,165,60,-1.02343023688846
8.4,165,75,-6.79479633919513
8.4,165,90,5.94280825768964
8.4,180,-90,21.9031665147767
8.4,180,-75,-12.4714788127333
8.4,180,-60,-10.7994170279204
8.4,180,-45,1.51525889120339
8.4,180,-30,0.677376962374421
8.4,180,-15,8.96781862900965
8.4,180,0,40.653087377623
8.4,180,15,4.22732080472636
8.4,180,30,-5.01780184676758
8.4,180,45,-1.1572769791714
8.4,180,60,-0.170116418218327
8.4,180,75,2.11986715322929
8.4,180,90,14.5821813940958
8.4,195,-90,0.963013727191327
8.4,195,-75,-5.49163430231693
8.4,195,-60,-17.5210291297316
8.4,195,-45,-0.879504248963787
8.4,195,-30,4.43891051269443
8.4,195,-15,12.0389636574331
8.4,195,0,40.4805803575348
8.4,195,15,7.30909157212922
8.4,195,30,-4.38838247597434
8.4,195,45,1.30381188632054
8.4,195,60,-2.38167740266164
8.4,195,75,5.32016659769395
8.4,195,90,3.62945605759606
8.4,210,-90,3.11305007016022
8.4,210,-75,-0.787237310901905
8.4,210,-60,-4.27089102416111
8.4,210,-45,8.0049570129332
8.4,210,-30,9.13080564833473
8.4,210,-15,21.2495888908044
8.4,210,0,40.3505445005015
8.4,210,15,3.36291524122121
8.4,210,30,4.93922194315202
8.4,210,45,5.26032511605124
8.4,210,60,-0.672934306999381
8.4,210,75,-3.24102278464635
8.4,210,90,3.97510052874215
8.4,225,-90,11.2811730318596
8.4,225,-75,4.79617374840025
8.4,225,-60,-3.40966180259579
8.4,225,-45,4.38599861386145
8.4,225,-30,11.618352565005
8.4,225,-15,12.6296009071245
8.4,225,0,40.3029782035917
8.4,225,15,13.4188794719554
8.4,225,30,5.2039986550817
8.4,225,45,7.11419972701988
8.4,225,60,-3.22704629589709
8.4,225,75,-4.81672118100419
8.4,225,90,4.43977335576169
8.4,240,-90,8.17598023674688
8.4,240,-75,0.20848081941355
8.4,240,-60,-6.73887250513037
8.4,240,-45,9.96108379567682
8.4,240,-30,3.61537751278705
8.4,240,-15,-3.05803459094087
8.4,240,0,40.3533013473426
8.4,240,15,12.6276750831132
8.4,240,30,13.3905904560006
8.4,240,45,9.27371628263736
8.4,240,60,1.19028442638278
8.4,240,75,-0.742790817027323
8.4,240,90,-2.35256461293321
8.4,255,-90,5.26388447432679
8.4,255,-75,9.84108319032467
8.4,255,-60,5.62816510169608
8.4,255,-45,11.8854827228443
8.4,255,-30,8.92291769202819
8.4,255,-15,26.8320578202971
8.4,255,0,40.4852135067671
8.4,255,15,13.3076259923274
8.4,255,30,15.1090432175125
8.4,255,45,11.4549220499701
8.4,255,60,15.1422080200492
8.4,255,75,11.9088992472849
8.4,255,90,5.34499505277817
8.4,270,-90,51.4529982545491
8.4,270,-75,14.938394247165
8.4,270,-60,28.3830343923316
8.4,270,-45,32.8164664585554
8.4,270,-30,33.2579540314949
8.4,270,-15,31.6346085167515
8.4,270,0,40.6582286333397
8.4,270,15,31.919448575443
8.4,270,30,33.2947643385592
8.4,270,45,32.8451621220619
8.4,270,60,28.2205886347051
8.4,270,75,16.224750612697
8.4,270,90,51.43272846631
8.4,285,-90,3.52793118834108
8.4,285,-75,10.1971741803465
8.4,285,-60,14.9507624871083
8.4,285,-45,12.7923037405318
8.4,285,-30,11.0735437189817
8.4,285,-15,15.9611214629411
8.4,285,0,40.8239518450986
8.4,285,15,27.0245954748766
8.4,285,30,11.6069168348459
8.4,285,45,13.2672352640783
8.4,285,60,3.7600001779051
8.4,285,75,9.33472639184241
8.4,285,90,6.03865895290688
8.4,300,-90,1.52323917352003
8.4,300,-75,-6.31470686968167
8.4,300,-60,1.13922628701006
8.4,300,-45,9.22650253429694
8.4,300,-30,13.4785457279303
8.4,300,-15,19.6380661790908
8.4,300,0,40.9407371118269
8.4,300,15,0.472204306258535
8.4,300,30,2.57687298818098
8.4,300,45,11.1146547358933
8.4,300,60,-7.52346923493741
8.4,300,75,-2.78556998587396
8.4,300,90,5.46586930412804
8.4,315,-90,3.89818023457959
8.4,315,-75,-4.97698317452025
8.4,315,-60,-1.0379406102152
8.4,315,-45,2.09874231934293
8.4,315,-30,10.3529067564905
8.4,315,-15,8.71305184809627
8.4,315,0,40.9818376291482
8.4,315,15,12.2319535350992
8.4,315,30,12.123887546475
8.4,315,45,5.13734082411412
8.4,315,60,-3.26214418816356
8.4,315,75,10.1302739307964
8.4,315,90,7.82130940494095
8.4,330,-90,-0.971831113610063
8.4,330,-75,-5.30935008583446
8.4,330,-60,-6.58562465709626
8.4,330,-45,0.516337513641425
8.4,330,-30,5.41686853669508
8.4,330,-15,8.98165658713172
8.4,330,0,40.9383291389069
8.4,330,15,20.5691258723425
8.4,330,30,7.37679280831926
8.4,330,45,7.21349378127091
8.4,330,60,-1.78872416519256
8.4,330,75,1.42721162494828
8.4,330,90,6.71757771132764
8.4,345,-90,5.94280825768964
8.4,345,-75,-6.79479633919513
8.4,345,-60,-1.02343023688846
8.4,345,-45,-0.112735770062199
8.4,345,-30,-18.7570777926932
8.4,345,-15,5.90767913959964
8.4,345,0,40.8196665071514
8.4,345,15,13.014362775474
8.4,345,30,4.7009196175869
8.4,345,45,-2.55058830508868
8.4,345,60,-16.4593767706142
8.4,345,75,-1.77783322546625
8.4,345,90,7.87866997191696
8.4,360,-90,14.5821813940951
8.4,360,-75,2.11986715322928
8.4,360,-60,-0.17011641821833
8.4,360,-45,-1.1572769791714
8.4,360,-30,-5.01780184695482
8.4,360,-15,4.22732080472636
8.4,360,0,40.653087377623
8.4,360,15,8.96781862900965
8.4,360,30,0.677376962374191
8.4,360,45,1.51525889120339
8.4,360,60,-10.7994170279204
8.4,360,75,-12.4714788127333
8.4,360,90,21.9031665147767
